,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,2384,https://www.airbnb.com/rooms/2384,20240917031253,2024-09-17,city scrape,Hyde Park - Walk to The University of Chicago,"Solo Hyde Park visitors are invited stay in the guest room of my vintage 2nd floor co-op apartment - you will be the only Airbnb guest. This convenient Hyde Park location is 1 block from the eastern border of the University of Chicago,  a 7 minute walk to the Chicago Theological Seminary,  and a 16 minutes door-to-door ride to McCormick Place via the Metra train next door. You’ll be a block from Jackson Park, home of the Museum of Science and Industry. Please read the listing before booking.","The apartment is less than one block from beautiful Jackson Park which houses the Museum of Science and Industry and the Garden of the Phoenix, built for the 1893 World's Columbian Exposition. The Obama Presidential Center is currently under construction 1 block away! Theaters, restaurants, grocery stores, book stores, and lakefront bicycle/running paths are within walking distance. This Hyde Park location is served by both the City of Chicago and  University of Chicago police departments.<br /><br />My building is located almost next door to the Metra Electric train station, providing you with quick and inexpensive transportation to downtown Chicago.  You need to be aware that the tradeoff for this convenience is the noise from an occasional passing freight train.",https://a0.muscache.com/pictures/hosting/Hosting-2384/original/f43bbdc8-fead-494e-b49c-082a399e3838.jpeg,2613,https://www.airbnb.com/users/show/2613,Rebecca,2008-08-29,,"My apartment is a 2nd floor walk-up in a vintage courtyard building. If you still have questions after reading my listing, feel free to inquire before booking.  I can help you determine if my Hyde Park guest room is convenient for your visit.  I may even be able to suggest a more appropriate location. In any event, I will quickly answer your inquiries.",within an hour,100%,88%,t,https://a0.muscache.com/im/pictures/user/8bb4745c-c262-42e6-bb8d-4e8f4b638f8e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8bb4745c-c262-42e6-bb8d-4e8f4b638f8e.jpg?aki_policy=profile_x_medium,Hyde Park,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Hyde Park,,41.7879,-87.5878,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Heating"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Fast wifi \u2013 576 Mbps"", ""Wine glasses"", ""Hangers"", ""Bathtub"", ""Long term stays allowed"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Free dryer \u2013 In building"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker, french press, Keurig coffee machine"", ""40 inch HDTV with Roku"", ""Carbon monoxide alarm"", ""Piano"", ""Window AC unit"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Gas stove"", ""Housekeeping available 1 day a week - included with your stay"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Clothing storage: closet and dresser"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Dr. Bronner\u2019s Pur\u00e9 Castile Liquid Soap body soap"", ""Toaster oven single oven"", ""Microwave"", ""Hot water""]",$125.00,3,89,3,3,89,89,3.0,89.0,,t,13,43,73,345,2024-09-17,246,19,1,2015-01-09,2024-09-12,4.99,4.98,4.99,4.99,4.98,4.95,4.94,R17000015609,f,1,0,1,0,2.08
6,94450,https://www.airbnb.com/rooms/94450,20240917031253,2024-09-17,city scrape,Comfy Garden Suite in Andersonville,"In the very heart of Andersonville.  A comfortable garden unit in a well cared for 3-flat, in a wonderful and safe neighborhood.   Easy access to the lake front, dining and shopping.  A great weekend getaway or a place to call home for a few months.  Public transit is nearby, trains and express buses to downtown.  Ride a bike home from downtown along the lakefront.  <br /><br />Note:  Being a garden unit, you'll notice the exposed pipes in the pics, especially if you are taller than 6'2"".<br /><br />Wifi is fast","A neighborhood on Chicago’s north side, Andersonville is known for its Swedish roots, historic architecture, and bustling urban main street, Clark Street. When you arrive in Andersonville, you feel you have arrived someplace special.<br /><br />While our roots are Swedish, we are also recognized as the “shop local capital of Chicago,” supporting the largest network of local and independent businesses in the area.<br /><br />Home to one of Chicago’s largest LGBTQ+ populations, Andersonville is a community full of pride and a commitment to equality.",https://a0.muscache.com/pictures/miso/Hosting-94450/original/8883135c-e3d3-40b7-8735-b6a52a7e23e0.jpeg,504470,https://www.airbnb.com/users/show/504470,Mark,2011-04-12,,"When I travel, I like unique experiences, learning from the locals, staying in interesting neighborhoods and exploring the area. I also like to be comfortable and appreciate an updated style. If you are anything like me - you'll love my place!",within an hour,100%,90%,t,https://a0.muscache.com/im/pictures/user/e9a10e63-b6c3-41a2-b0c9-f77632d43863.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e9a10e63-b6c3-41a2-b0c9-f77632d43863.jpg?aki_policy=profile_x_medium,Andersonville,1,3,"['email', 'phone']",t,t,Neighborhood highlights,Edgewater,,41.9796,-87.66512,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Refrigerator"", ""Radiant heating"", ""Backyard"", ""Self check-in"", ""Dishwasher"", ""Lake access"", ""Shared beach access"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Children\u2019s dinnerware"", ""Paid dryer \u2013 In building"", ""Air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Coffee maker: drip coffee maker"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""40 inch HDTV with Roku"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Gas stove"", ""Fast wifi \u2013 82 Mbps"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Blender"", ""Freezer"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$115.00,3,90,3,3,1125,1125,3.0,1125.0,,t,0,0,4,184,2024-09-17,30,13,2,2022-07-23,2024-09-02,4.97,5.0,4.87,5.0,5.0,5.0,4.97,R22000082956,f,1,1,0,0,1.14
7,145659,https://www.airbnb.com/rooms/145659,20240917031253,2024-09-17,city scrape,Trendy Roscoe Village 3BR/2BR walk to shops,"Awesome 3 bedroom/2 bathroom in one of Chicago's top neighborhoods.  Trendy boutiques, outdoor cafes, and great restaurants and bars.  Very family friendly neighborhood with plenty to do with family and friends!","Trendy Roscoe Village offers a variety of boutiques, restaurants and bars. The best neighborhood in the city and safest!",https://a0.muscache.com/pictures/65ff405d-3f96-470b-99c8-6762e97c6209.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,North Center,,41.94342,-87.68121,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,3.0,"[""Paid parking on premises"", ""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Air conditioning"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$230.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,28,54,84,359,2024-09-17,77,4,0,2015-10-15,2024-05-05,4.78,4.81,4.91,4.76,4.62,4.88,4.71,2209272,t,23,23,0,0,0.71
8,145690,https://www.airbnb.com/rooms/145690,20240917031253,2024-09-17,city scrape,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,"This is a fantastic 4 bedroom/2 Bathroom that is within walking distance of Lincoln Park Zoo, Second City, North Ave Beach and CTA Brown line (Sedgwick) - perfect for families.  Located in Old Town on Eugenie & Sedgwick.",Trendy Old Town offers boutique shopping and a variety of restaurants & bars.,https://a0.muscache.com/pictures/852e366f-76ed-4476-b700-268083d2e5de.jpg,683529,https://www.airbnb.com/users/show/683529,Joe,2011-06-09,"Chicago, IL",,within a few hours,100%,98%,t,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/683529/profile_pic/1351352687/original.jpg?aki_policy=profile_x_medium,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Lincoln Park,,41.91289,-87.63864,Entire rental unit,Entire home/apt,10,2.0,2 baths,4.0,4.0,"[""Refrigerator"", ""BBQ grill"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Air conditioning"", ""Long term stays allowed"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$293.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,30,60,90,359,2024-09-17,86,0,0,2015-06-05,2022-08-11,4.78,4.78,4.89,4.79,4.62,4.95,4.65,2083778,t,23,23,0,0,0.76
28,651742,https://www.airbnb.com/rooms/651742,20240917031253,2024-09-17,city scrape,Edgebrook Lg bdr by golf course,"Beautiful private bedroom (1 of 2) in a ranch style home, you have full access to everything on the ground floor including living room, kitchen, and bathroom (shared if there is a tenant in the second bedroom).  I live in the basement level and have my own space and will only share the kitchen with you.","Across the street from golf course, a 7-minute walk from small downtown Edgebrook with local shops, grocery, bar, coffee, ice cream shop, post office and Metra station.    Quiet residential neighborhood.",https://a0.muscache.com/pictures/8600183/a23098a1_original.jpg,2824576,https://www.airbnb.com/users/show/2824576,Jeff,2012-07-04,"Chicago, IL","I am a professional violinist, business owner, and lover of all things creative.  I've traveled to Europe, Middle East, Russia, Mexico, and  to 49 states and love meeting people from different cultures. 

Originally from Taiwan, I grew up in Seattle and moved to Chicago in 1995 and have been here ever since.  I know the ins and outs of Chicago and can point you to some of the best things to see around the city and some of the out of the way places only locals know.  I am very easy going and love to entertain so you'll be sure to have a pleasant and fun stay while you are in town.",within a few hours,93%,72%,t,https://a0.muscache.com/im/users/2824576/profile_pic/1341379783/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2824576/profile_pic/1341379783/original.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Forest Glen,,41.99178,-87.75747,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Refrigerator"", ""BBQ grill"", ""Backyard"", ""Dishwasher"", ""Heating"", ""Stove"", ""Dining table"", ""Lock on bedroom door"", ""Shampoo"", ""Coffee"", ""Cleaning available during stay"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central air conditioning"", ""Rice maker"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Free dryer \u2013 In building"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Wifi \u2013 15 Mbps"", ""Indoor fireplace"", ""Blender"", ""Board games"", ""Clothing storage: closet and dresser"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$82.00,2,90,2,2,90,90,2.0,90.0,,t,11,41,71,346,2024-09-17,117,17,4,2013-02-07,2024-09-14,4.93,4.96,4.92,4.9,4.94,4.81,4.91,R21000075759,f,2,0,2,0,0.83
29,662034,https://www.airbnb.com/rooms/662034,20240917031253,2024-09-17,city scrape,Edgebrook bdr by golf course,"Beautiful private bedroom (1 of 2) in a ranch style home, you have full access to everything on the ground floor including living room, kitchen, and bathroom (shared if there is a tenant in the second bedroom).  I live in the basement level and have my own space and will only share the kitchen with you.","Across the street from golf course, a 7-minute walk from small downtown Edgebrook with local shops, grocery, bar, coffee, ice cream shop, post office and Metra station.    Quiet residential neighborhood.",https://a0.muscache.com/pictures/8663107/bfb78f8d_original.jpg,2824576,https://www.airbnb.com/users/show/2824576,Jeff,2012-07-04,"Chicago, IL","I am a professional violinist, business owner, and lover of all things creative.  I've traveled to Europe, Middle East, Russia, Mexico, and  to 49 states and love meeting people from different cultures. 

Originally from Taiwan, I grew up in Seattle and moved to Chicago in 1995 and have been here ever since.  I know the ins and outs of Chicago and can point you to some of the best things to see around the city and some of the out of the way places only locals know.  I am very easy going and love to entertain so you'll be sure to have a pleasant and fun stay while you are in town.",within a few hours,93%,72%,t,https://a0.muscache.com/im/users/2824576/profile_pic/1341379783/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2824576/profile_pic/1341379783/original.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Forest Glen,,41.99405,-87.75746,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Refrigerator"", ""BBQ grill"", ""Dishwasher"", ""Heating"", ""Shared backyard \u2013 Fully fenced"", ""Dryer"", ""Stove"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Wine glasses"", ""Hangers"", ""Wifi \u2013 38 Mbps"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central air conditioning"", ""Rice maker"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Indoor fireplace"", ""Blender"", ""Board games"", ""Clothing storage: closet and dresser"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$70.00,2,90,2,2,90,90,2.0,90.0,,t,2,32,62,337,2024-09-17,97,7,2,2013-08-28,2024-09-03,4.93,4.95,4.97,4.96,4.95,4.83,4.91,R23000095494,f,2,0,2,0,0.72
40,966137,https://www.airbnb.com/rooms/966137,20240917031253,2024-09-17,city scrape,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",Big bright and simple 2 floor house. Happy and comfy home. Free parking included. 1 mile to blue and pink train stations . 1 mile to el and subway. 1block Walk2bus. Please read our full profile before messaging. Please have full profile with reviews or send us your social media profiles. Airbnb blocks social media information so please send with extra characters/separated etc,"We love that we are a bus or train away to all of Chicagos great neighborhoods. We do not live in a bustling downtown area..We live in a real Chicago neighborhood. Grocery store is 10 -15minute walk. Fast food mom and pops 5 min walk. a quick 15 minute bike ride to the lake. I also love that we always have parking which is impossible in Chicago. We have a mixed neighborhood. Ideally we look for low maintenance guests who are responsible  and respectful. Parties are absolutely forbidden . Our parents live on our block so our home is closely monitored . Since we are in the medical district and are within 1block of 6 medical/government buildings, we have a neighborhood security car/guard  that is around since there is a dispensary around .",https://a0.muscache.com/pictures/98741692/0fbcc91f_original.jpg,5016495,https://www.airbnb.com/users/show/5016495,Erika,2013-02-08,"Chicago, IL","We are very positive free-spirited people. A family of 3. A very very energetic 4 year old has joined our life ! You must love kids to stay here. We enjoy being outside, riding bikes, making new friends , traveling the world and love festivals! We especially love hosting travelers from different countries as we love to learn as much as possible about other cultures. We are friends first and partners 2nd. The 3 of us cant live without music! We dance all day everyday at home or anywhere, always have music on! Trying new places to eat is always fun! Our family and friends are very important to us and play a huge role in our happiness! We love hugs!! 

Work like you don't need the money,
Love like you've never been hurt,
Dance like nobody is watching ,

Start everyday with a smile, there’s always Tomorrow. ",a few days or more,0%,0%,f,https://a0.muscache.com/im/pictures/user/d2caf62e-9b98-4347-9e0a-1fc7e56c827a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d2caf62e-9b98-4347-9e0a-1fc7e56c827a.jpg?aki_policy=profile_x_medium,Little Italy/UIC,1,4,"['email', 'phone']",t,t,Neighborhood highlights,Near West Side,,41.86801,-87.67877,Entire home,Entire home/apt,5,1.0,1 bath,2.0,2.0,"[""Refrigerator"", ""First aid kit"", ""Wifi"", ""Heating"", ""Dryer"", ""Exterior security cameras on property"", ""Shampoo"", ""Hangers"", ""Private patio or balcony"", ""Free parking on premises"", ""Children\u2019s dinnerware"", ""Air conditioning"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Washer"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""32 inch TV with Netflix"", ""Host greets you"", ""Kitchen"", ""Hot water""]",$133.00,32,32,32,32,32,32,32.0,32.0,,t,0,26,56,56,2024-09-17,41,0,0,2013-03-12,2023-09-01,4.75,4.76,4.63,4.93,4.93,4.22,4.76,city registration pending,f,1,1,0,0,0.29
49,1242709,https://www.airbnb.com/rooms/1242709,20240917031253,2024-09-17,city scrape,Beautiful/Large SE Evanston Apt,"Large beautifully furnished apt at a great price and in a great neighborhood close to public transportation, shops, and restaurants.<br /> ",,https://a0.muscache.com/pictures/51612269/c89d3a03_original.jpg,1254363,https://www.airbnb.com/users/show/1254363,Mark,2011-10-06,"Evanston, IL",I travel often since I study political science and conduct research on the contemporary politics and international relations of the Balkans and the Middle East. I spend part of the year in the Chicago area and the rest abroad. ,within a day,100%,46%,f,https://a0.muscache.com/im/users/1254363/profile_pic/1329077230/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1254363/profile_pic/1329077230/original.jpg?aki_policy=profile_x_medium,,2,5,"['email', 'phone']",t,t,,Rogers Park,,42.01938,-87.67985,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,2.0,"[""Bidet"", ""Refrigerator"", ""Bikes"", ""Stainless steel oven"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Hangers"", ""Private patio or balcony"", ""Bathtub"", ""Air conditioning"", ""Long term stays allowed"", ""Coffee maker: drip coffee maker"", ""Hot water kettle"", ""Washer"", ""Body soap"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""BBQ grill: charcoal"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Stainless steel stove"", ""Blender"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Shared beach access"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$149.00,7,1125,7,7,1125,1125,7.0,1125.0,,t,17,47,77,352,2024-09-17,17,1,1,2015-04-25,2024-08-20,4.12,3.88,3.94,4.65,4.47,4.24,4.29,,f,1,1,0,0,0.15
51,1321332,https://www.airbnb.com/rooms/1321332,20240917031253,2024-09-17,city scrape,Lincoln Park Single Family Home,"Temporarily live in the best neighborhood in Chicago. This house is 4200 square feet, it has 2 decks, an attached 2 car garage, ,etc, etc!!!","Lincoln Park is the best neighborhood in all of Chicago.  It is a beautiful area with tons of parks, a free zoo, ocean like beaches, the list goes on and on.  At this home you will feel like you are living like a true Chicagoan!",https://a0.muscache.com/pictures/19913526/70bf5e0a_original.jpg,946954,https://www.airbnb.com/users/show/946954,Jeff,2011-08-09,"Chicago, IL",Vacation License #2262746,within an hour,100%,100%,t,https://a0.muscache.com/im/users/946954/profile_pic/1372475463/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/946954/profile_pic/1372475463/original.jpg?aki_policy=profile_x_medium,Lincoln Park,1,5,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Lincoln Park,,41.93089,-87.66946,Entire home,Entire home/apt,16,3.5,3.5 baths,4.0,11.0,"[""Shower gel"", ""Pocket wifi"", ""Refrigerator"", ""First aid kit"", ""Fireplace guards"", ""Portable fans"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Noise decibel monitors on property"", ""Self check-in"", ""BBQ grill: gas"", ""Dryer"", ""Exterior security cameras on property"", ""Smart lock"", ""Generic body soap"", ""Dining table"", ""Shared beach access"", ""Shampoo"", ""Ethernet connection"", ""Electrolux gas stove"", ""Hangers"", ""Oven"", ""Wine glasses"", ""Private entrance"", ""Private patio or balcony"", ""Bathtub"", ""Free parking on premises"", ""Room-darkening shades"", ""Children\u2019s dinnerware"", ""Outdoor furniture"", ""Air conditioning"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Hot water kettle"", ""Outdoor dining area"", ""Washer"", ""Generic conditioner"", ""EV charger"", ""Coffee maker"", ""Books and reading material"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""HDTV with standard cable"", ""Baby safety gates"", ""Fire extinguisher"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Toaster"", ""Smoke alarm"", ""Trash compactor"", ""Extra pillows and blankets"", ""Free street parking"", ""Indoor fireplace"", ""Blender"", ""Board games"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Clothing storage: walk-in closet and closet"", ""Microwave"", ""Hot water""]",$454.00,2,60,2,4,1125,1125,2.4,1125.0,,t,13,42,65,328,2024-09-17,115,3,0,2013-10-16,2024-07-17,4.83,4.9,4.67,4.94,4.9,4.85,4.73,2262746,f,1,1,0,0,0.86
64,1759266,https://www.airbnb.com/rooms/1759266,20240917031253,2024-09-17,city scrape,Lakeview / Lincoln Park Vintage,"A fully-furnished and updated Vintage apartment located on the 1st floor of a 2 flat w/ rear yard, BBQ & outdoor dining table . <br /><br />Nestled in  Chicago's iconic Lakeview/Lincoln Park, this is a perfect jumping off point to anywhere in the city. We are 2-1/2 blocks from the CTA brown line & a mile from 90/94, and a very walkable mile from Wrigley Field. The neighborhood is full of great restaurants and bars all within walking distance. <br /><br />Don't leave your furry friends at home, we are pet friendly!","Lakeview/Lincoln Park is a truly car-optional city neighborhood. We originally fell in love with the architecture and the friendly neighbors. Everything (grocery store, multiple bars/restaurants, public transportation, etc.) is within a walkable distance, and we are located less than 1-1/4 miles from Lake Michigan!",https://a0.muscache.com/pictures/miso/Hosting-1759266/original/f64b95fb-a4e4-425a-a9f3-d4aaeae470fb.jpeg,9249272,https://www.airbnb.com/users/show/9249272,Mark,2013-10-05,"Chicago, IL","My wife, Diane and I are long-time Chicago residents.  We love the city and what it has to offer. 
We have owned and lived in our two flat in the Lakeview/Lincoln Park neighborhood for 38 years. We have rented the 1st floor apartment as a vacation rental for the last 18 years and we have enjoyed hosting guests from all over the world. We would be happy to host your Chicago stay! Feel free to contact us with any questions you may have. 
Mark",within a few hours,100%,100%,t,https://a0.muscache.com/im/users/9249272/profile_pic/1381071313/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9249272/profile_pic/1381071313/original.jpg?aki_policy=profile_x_medium,Lakeview,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Lake View,,41.93396,-87.65897,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Refrigerator"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Pets allowed"", ""Heating"", ""Free dryer \u2013 In unit"", ""BBQ grill: gas"", ""Garden view"", ""Dining table"", ""Coffee"", ""Crib"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Private patio or balcony"", ""Free parking on premises"", ""Bathtub"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central air conditioning"", ""Kirkland and Dove body soap"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""40 inch HDTV with Amazon Prime Video, Disney+, Hulu, Netflix"", ""Hot water kettle"", ""Outdoor dining area"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Luggage dropoff allowed"", ""Kirkland shampoo"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Gas stove"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Kirkland conditioner"", ""Private backyard \u2013 Fully fenced"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$232.00,2,364,2,2,1125,1125,2.0,1125.0,,t,17,35,62,325,2024-09-17,86,13,2,2014-06-27,2024-08-26,4.83,4.85,4.86,4.96,4.86,4.98,4.81,2209110,t,1,1,0,0,0.69
